Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,sarcasm
about to give up on tomorrows speech unfortunately the end of this speech says never give up #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@aniahrose i know smh my heart sunk into my stomach,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
she stay sneak dissing and taylor is not the one #ironic httpstcozhbxrx2t3k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
thanku @sarahksilverman 4 twatting 4 @tignotaro wifeampi watched this wkend sooooo freakin #funny #moving #ironic httpstcoacusar4e4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@sarahspuddy getting an editor is dependent on the quality of this edit #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@edquinn63 how can you even forget to pick ur fave child up from school #offended,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
im not sure if burning and looting really can positively impact a community,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
i see what you did there  #irony #hcsm httpstcofbddfgmmbm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
#aleppo city is burning the head of #terrorism #assad regime amp #russia are bombarding the city right now with #whitephosphrus #bombs ,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
@octranspo some weeks there are no problems but this week is unbelievable  are you guys even running regular 12 buses #awful #solate,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
there are magpies gathering around me help im going to be swooped  #terrorism,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
#recession #economic #gloom the brightest #stars shine in the darkest nights our #html5 #webdesign rocks #rtblitz #finovate #wlsb,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
happy birthday to stephen king a man responsible for some of the best horror of the past 40 years and a whole bunch of the worst,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
breaking out in hives for the first time since college finals #anxiety sucks,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
if payet goes either in jan or @ the seasons end cant say i blame him the boy must b so disheartened by what hes seeing at the mo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
@stl7thward @laurakhettiger i thought hot spot policing was a plan which btw is really working out #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
the story of my life so far #friends #chandler #sarcastic #seriouslythough httpstcoqzv3tu3xdn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
you know why @realdonaldtrumpis is winning we the people have seen #houseofcards #nomorepoliticians #sarcasm  httpstcog9w8ygiv2w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@orribleives i didnt say anything bad about the situation great mate cant believe some were makes me despair of humanity,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
#trump s make america great again plan is exactly like the first 15 minutes of the #movie #childrenofmennn#cages #terrorism #refugees,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
leeds surely to drop the prices for that cup tie rather than the dismal attendance last night,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
carry on my wayward son therell be peace when you are done lay your weary head to rest dont you cry no more,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
i always dread wednesdays and the always end up making me the happiest,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
@tcarrels  nso when exactly did you lose your mind pal n#trump #fraud #misogynist #liar #psychopath #narcissist #revolting #conartist,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
i wanna get up and dance but everyone is in bed this sucks everyone wake up  #hyper #happy #letsdance #dirtydancinginthemoonlight,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
wazza blocks carricks shot and then misses a sitter that memphis who was ready beside him surely wouldve buried good start lol #mufc,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
its the #firstdayoffall and im so happy sipping my #pumpkinspice flavored coffee and #smiling happy fall everyone #amwriting,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
and #themeekmoose laughs and snorts #irony httpstcoaia9wjoyyd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
quotesoup be happy not because everything is good but because you can see the good side of everything ,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
#irony  late 20s30s ppl r imprisoned in office cubicles  monica bellucci playing bond girl amp milind soman completed iron man race at 50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@jenniverson thanks for not rubbing it in  #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
#apple being bullish in china on iphone sales while they totally neglected english aware #india #ironic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
im just tryna watch horror movies and nap all day,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
@itsjusthuong i will beat you  always thought id be gryffindor so this is a whole new world for me  #excited ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
@joaquinputoamo vas a ir al de the amaity affliction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
@skynews err i wasnt gloomy  172 mio people were not gloomy only #remain were #brexit,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
aw theres a young fox outside on the grass just jumping around all playful and having a little stretch  soo cute ,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
man i wish i could sexually harass an intoxicated minor and not go to jail #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
no episode today whilst editing there was a power outage we will rebuildtomorrow #podcast #lost #editing #fail #tomorrow,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
i wish the next madden has a story mode too just like fifa 17 ,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
@btuk appointment booked between 16 today waited in all day and nobody showed up also requested a call back and never got one #awful,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
@embitteredicon sam grins against steves lips murmuring his words with a playful tone you want the shirt off i sure i could accommodate,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
@chr1smclaughlin hes brilliant lost the joyous plot with us that year admits being a fan now after that,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
couldnt help but laugh over these brutally honest job titles httptcorevntdrvsb #career #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
i love it when you try to help me with my flaws  no really i had no idea they were there #sarcasm #nojustno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@charlsamaro i have hard physical evidence for other things yet people doubt it sometimes thats not good enough #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
thats our governor kids kansans everywhere are bursting with pride #sarcasm #howmuchdidmytaxespayforthis #ffs httpstcoupqyhottoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@time oh boycant wait to read this list #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@mgiacchino will this be aired on radio or filmed lots of fans over the pond too #wales #lost,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
watching age of ultron these avengers movies have so many destroyed cities good thing nobody died like in man of steel #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@all4 is the android app it designed to be buggy and work sporadically on a fire tv box ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
@dak2future decorations are up all over jersey already ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
annoyed with @tripadvisoruk bullying me to download an app that eats my phone memory will seek alternative from now #bully #tripadvisor,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
you complain all the time and then wonder why people never want to see you you acc rile me up stfuuu,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
happy birthday @iridhidogra keep smiling alwayswishing you a wonderful year ahead mam,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
#peiyophobilia  an advice from @anirudhofficial dont fear for #devil sure shot @iamstr voice more energeticxtremly foot tapping one ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
rockridge twice 3 times this year  #yesplease #hellyea #ironic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
we cant even grieve over one black body before another one pops up due to pig brutality,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
definitely true #youthink #sarcasm httptcowtuutc1zvl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
thoughts of the #whitepeople users my race is far too superior to be racist its those awful white people that are all racist #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
all in his feelings drakeing to the max  #ironic httpstcowsxeu2coy1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@carlybigelow13 first you take the room now you wanna beat me up ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
@chrissycostanza and have social anxiety there is many awkward things wrong with me ,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
i wonder what would happen if i were a father #weary,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
and of course as soon as i tweet support for nicki bad blood comes on the radio #irony @nickiminaj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@thetweetofgod  but didnt you commit adultery with mary while she was married to joseph #irony ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
when i feel like thinking and speaking #irony #raffaello #pop #contemporaryart #lovewins #renaissance #tomorrowland httptcokpryoyuifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
melissa seems in such a great mood this morning wonderful #sarcasm ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
i get so much pussynp  panic attacks nu  uncontrollable anxiety ns  suicidal fantasies ns  sadness ny  yearning for death,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
when you make a great tasting shake and no words can describe it #shake #herbalifenutrition #tastesogood #nowords,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
@luxbet did you even give out any pizzas  serious fail #hungry #furious #hangry,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
@thetweetofgod nontraumatized jewish men are an abomination obviously #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
most wanted dacoit killed by police in shikarpur thank you dg rangers #sarcasm httptcoigkdhvepg0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@jesnowden are you kidding me anthony pettis was on a wheaties box #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@espnfc the pot is so guilty of calling the kettle black chelsea have made it their new captain #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@radiox @chrismoyles wow not heard this in forever random but great #sting #xph,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
@foxnews yeah were also experiencing terrorist attacks by islam and #blacklivesmatter at an alarming rate,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
@leahcheer this was life insurance and then i literally almost died driving home from wichita afterwards #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
another night of fantastic camerawork for #sytycd #sarcasm  please stop the nauseating 360s and constant angle changes ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@taos @lucasllach the press man could flight for his vacations #ironic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
now that vinyl is cool again stores are going to have to redesign their displays again to make room #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
that moment of #panic when your zipper gets stuck when youre in the #bathroom and you realize the only way out of your jeans is #scissors,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
thank you @mets @metsgm @mrmet for addressing out needs and trading for  the elite talent of kelly johnson and juan uribe #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
#sarcasm  just one of the many services i offer  #funny #truth httptcou2pxfgerv9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@edtechtv i know isnt that great #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@etimsnet i wanted him dropped a while ago its a concern for us no doubt,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"this guy has been asking me how i get these beautiful women nude in my photos
my answer tell em your gay #sarcasm",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
retweeted gunnysmith93 @stephen21smithnndays like today i am happy to be alive #blessed ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
some say my lover is a pale green lightnhe hovers high where the moon shines bright,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
watch this amazing lively broadcast by @mattboss  #musicallyjh,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
@skyuk what a joke cut our internet off early by mistake and then dont reinstate it when we no longer need an engineer  ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
genuine laughs  #doubletap #sarcasm #ohmygod #popular #followme #laughoutloud #genuinelaughs #hilarious #r httpstcobbgkzxyqc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@noveliciouss omg thats such a beautiful quote  #amwriting,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
way to go @athletics youve embarassed yourself tonight good job #sarcasm #onto2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"how very helpful no wonder your handle had the word help amp your logo has customer service

#sarcasm
 httpstcordlwwu31qo",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
 @kotakbankltd @udaykotak official got in touch issue not addressed #unhappy #patheticservices,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
@foxxyzgaming @omgitsnitroo @itzdinodoe oh youre hard because you sent a snapshot #soscared #sarcasm #whatabitch #nathensaidstop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@dmcmenemy itll be easy to spot the parade of tiny weans in expensive jammies really is hilarious,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
@klipto the orange one is #poisonous and #bitter you shouldnt judge the #blue one by how it looks but by how it tastes #delicious,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
@f1abraham holy shitwhat the hell happened to your lips fix that shit #mtv #teenmom #horrible,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
#onesimplechange drink sparkling water instead of soft drinks to steer clear of fructose while still getting a refreshing carbonation kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
two major banking stocks down almost 15 to 20  from their highs while benchmarks still close to top it is a sure #worry for markets,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
shriekfest is lining up volunteers oct 69 only serious inquiries please  shriekfest@aolcom  see free films  #horror,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
@mattstottwrites for me not so much outrage as oh using female body to sell something again,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
so my indian uber driver just called someone the n word if i wasnt in a moving vehicle id have jumped out #disgusted ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hahaha @jimirsay yea and youre not an alcoholic and drug addict #sarcasm #hateuscuzyouaintus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
gees that williame looks great should put him in first grade #sarcasm #gomanly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
shoutout to the drunk man on the bus who pissed in a bottle and on the seats ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
and i cried in front of my guy last night and its just been a horrible week but its only for a week,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
dont #worry if youre not the best  if you are doing something you #love  youre heading in right direction ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
note to self hosiery and half nipple get a lot of likes on instagram #irony #censorship #equality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
yeah i got a #smart mouth #sarcasm #doyourresearch #whydoyoumatter #thestreakcontinues #kabitch httpstcollgixhycyz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
i dont know whats worse the new pizza hut commercials or the pizza that pizza hut makes ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime they only #rage and cry #racism when its a #cop,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
@lonelygoomba i wouldnt bring this up if i were you its a very touchy subject and people get way to offended these days,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
more #checking at #work todaynn#coffee #drank and now its #down to some #serious #business nn#thursday bring on #friday,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
im so serious about putting words in my mouth bitch dont add  the  to my sentence if i didnt say that shit on bloods,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
@othrcarl @ixsw @purenift im sadly not im just being smutty,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
havent yet read why dutch drivers are so happy but heres my theory because they could quit driving and still have great transpo options,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
@netflixme penny dreadful season 3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
congress acting indignant over the  #epipen pricing is quite disingenuous since they craft the laws that allow such gouging,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
as i remember and reflect on reginald denny on a night much like this like #charlotte i think to myself the gun lobby must be rejoicing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
@widya2905 awe they look so cute #sarcasm httptcouqnn7c9kkp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@virginmedia ive been disconnected whilst on holiday  but i dont move house until the 1st october  ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sorry im so #bitter i just i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i likegt,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
on the wheel as we grow older and become aware of ourselves as individuals with a dull responsibility in life,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
callon is back #sarcasm intact check out the #allegiance sample on #bookbuzzr #mustread #fantasy #dragon  httptco24vap5evmz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
as if he heard my thought on the ether my #ex has just posted #facebook pic of himself snuggling up with said #cats now im just #angry,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
absolutely fuming ive just scratched all my car ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
i added paul walker on xbox but he just spends all of his time on the dashboard  #humor #funny,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
theres always that one song which makes you turn of the radio as youd rather sit in silence  ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
#irony how many of these car tv shows do you watch httptcokgkt2phsh6 via @clickhole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
the sunderland time line is quite funny with all the doom amp gloom in facing us and the long trip to us midweek #whatgoesaroundcomesaround,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
@selbsie yapyap once upon a time i was an avid fanfiction patron during my kpop heyday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
hes educating our youth how unpresidential #sarcasm @progressivepush @joseceballosfl @politicususa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
265 highend apartments proposed at defunct kenner movie theater httptcohwhni3c5z9 via @nolanews #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@susankim4 good morning and you were on your way to work to make a few bucks #irony ha hope you had a steamy hot golf filled weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@babylonian i convinced my mom to watch it killgrave gave her literal nightmares but watched last episode four times #smile,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
dont smoke hope rt @mpshrike says the socialist lol #irony  httpstco2e69ur8c3q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
